before_low;before_up;after_low;after_up
4.9153676;47.55774;0.44307137;2.8538847
3.8613784;58.16196;0.38437477;3.662185
4.536555;61.454224;0.4670682;3.9053938
3.8046176;63.335598;0.40481254;4.1503677
4.109354;74.35352;0.4664367;4.89144
4.847009;51.790237;0.44742125;3.1037831
4.383238;57.537003;0.42475128;3.5180583
5.1819086;37.700184;0.47259685;2.4367692
4.0940833;56.17948;0.39232293;3.4328256
4.1892576;60.151897;0.4428553;3.9728653
4.641134;44.43281;0.40036654;2.607067
3.8914258;67.28348;0.4140038;4.307552
5.356837;39.480392;0.5307982;2.7418084
4.271578;78.02499;0.515935;5.3672595
4.2457614;54.936863;0.40056366;3.3229432
3.7003708;56.181572;0.36182952;3.519189
4.3865476;61.649216;0.45662868;3.964477
4.286309;66.25661;0.45711765;4.260684
4.1146646;71.09831;0.45257872;4.605202
3.771042;51.86649;0.38474244;3.4832413
4.554228;48.35488;0.4072889;2.873825
4.042647;66.324425;0.43531856;4.3170505
4.6175933;57.97896;0.47914675;3.7881393
4.119095;69.012886;0.4531733;4.5225964
4.2604365;49.620594;0.40834615;3.1520374
4.9955378;52.416126;0.46579373;3.1573086
4.123876;72.46154;0.46031773;4.731045
4.355632;50.163155;0.39750546;3.0158281
4.161142;53.505127;0.3880645;3.228446
3.9009697;66.60332;0.42843786;4.425026
4.063919;68.918;0.4574971;4.631658
4.9957037;47.814754;0.47349072;3.0148323
4.2665772;60.875423;0.4358097;3.8599167
3.8737905;60.912235;0.39364347;3.8553703
4.1750503;61.900146;0.4267744;3.9081085
3.7300797;60.865654;0.38267723;3.8974833
3.79097;54.458565;0.37226248;3.4590523
4.3121247;70.11666;0.4839403;4.6547627
4.125802;63.08841;0.41560075;3.8977225
4.375486;65.68347;0.46294942;4.198862
5.37877;15.541946;0.87255955;2.1272285
3.9930077;63.904358;0.41759005;4.091921
4.0991197;65.73475;0.43336147;4.20876
4.2567716;66.965294;0.46047202;4.354833
4.5764575;50.84917;0.46412563;3.3884003
4.1025176;57.356358;0.40764567;3.6134925
3.661339;56.889065;0.39390236;3.9210553
3.8049984;60.253735;0.38830516;3.8479977
3.948142;67.30051;0.4191713;4.2965493
4.542417;54.924267;0.4445231;3.4410448
4.1543217;65.30673;0.43878323;4.185095
4.3312216;66.211845;0.4614946;4.253023
4.45633;55.732685;0.42359567;3.3741295
5.3382134;53.630196;0.5074163;3.2599986
4.3583484;61.979313;0.44871393;3.9336078
3.7362835;59.182854;0.3712065;3.7011497
4.1105757;72.7232;0.46372944;4.795297
4.868219;51.567165;0.49766144;3.4396265
4.317361;56.670643;0.4390219;3.6644788
4.2626414;59.828888;0.4148642;3.6295547
4.6122556;45.21209;0.4075563;2.7063859
3.8267288;52.71126;0.37211117;3.3485372
3.7771015;52.16871;0.35507184;3.2121546
4.102335;59.416676;0.4141509;3.759592
4.0448008;57.26809;0.3913995;3.5136998
4.4215827;59.938263;0.46919906;3.9704847
3.8108387;61.745304;0.3882206;3.9018347
3.8997903;50.452023;0.39995694;3.4322042
3.9985828;47.341373;0.36102635;2.8754716
4.328344;72.95205;0.4858966;4.769437
4.0542755;71.533714;0.45805374;4.7573886
4.2096763;58.8955;0.41013947;3.59843
4.999266;51.343475;0.46549422;3.1086957
4.5882573;58.903248;0.45369938;3.6411264
4.5043545;54.593414;0.42359185;3.2896388
3.9162815;62.810017;0.41801873;4.137578
4.2378607;64.91707;0.4446107;4.1367536
4.776303;48.3965;0.42825058;2.8768888
3.9899423;66.24886;0.4241081;4.2579584
4.1726356;61.50337;0.44406593;4.059363
4.1413164;71.15646;0.45552173;4.606429
4.2881846;54.598904;0.43032634;3.5269048
3.837;63.80539;0.38935533;3.9671807
4.9583635;32.291927;0.4986368;2.4010198
4.103445;60.245228;0.42333603;3.8801842
3.5292222;55.950962;0.34039855;3.4657848
4.13807;68.25575;0.44982293;4.4346766
4.1371403;69.408226;0.46086958;4.597615
4.881767;51.251583;0.4475119;3.0586593
4.025276;52.315075;0.3879573;3.294539
4.4846044;55.904102;0.42644516;3.3814034
4.3940206;66.86607;0.4703599;4.2974653
3.9415066;55.92057;0.40982318;3.7310452
4.1815543;55.99908;0.411944;3.5223737
4.297717;47.089054;0.4063338;2.9956722
