before_low;before_up;after_low;after_up
4.9363914;47.874157;0.65868986;4.3122087
3.870314;58.383717;0.48283535;4.648654
4.543842;61.62136;0.61031574;5.1728535
3.80693;63.400978;0.48796433;5.050333
4.1246686;74.8589;0.56798106;6.0269465
4.8610935;52.030724;0.63404405;4.464826
4.3900356;57.684166;0.57731086;4.850639
5.1984897;37.87563;0.7154433;3.7451725
4.1029887;56.378757;0.54295796;4.821981
4.1953826;60.299046;0.5231528;4.731266
4.662964;44.750126;0.60731536;4.0173583
3.897953;67.48014;0.5336112;5.629126
5.379911;39.73153;0.75708854;3.966332
4.267813;77.897224;0.5425163;5.6610312
4.2452993;54.92718;0.529257;4.4439163
3.7170925;56.594486;0.5041646;4.979857
4.3927946;61.79779;0.57182217;5.0208488
4.2934027;66.44733;0.5567562;5.2435603
4.1187973;71.22583;0.54828763;5.639681
3.7829425;52.125275;0.47735754;4.362502
4.5665665;48.558815;0.580196;4.151925
4.059774;66.812996;0.53279155;5.3407693
4.6275115;58.185513;0.60757726;4.8593616
4.1365056;69.52875;0.5668884;5.7293134
4.2791805;49.962627;0.5313642;4.1462727
5.0020213;52.525352;0.65368897;4.496958
4.132936;72.74841;0.5591824;5.8122597
4.368735;50.40048;0.55560946;4.273596
4.171559;53.719997;0.54260534;4.580351
3.9008014;66.59834;0.4991668;5.1973567
4.067785;69.03349;0.5257202;5.3632317
5.003354;47.928772;0.64216554;4.1405244
4.2739196;61.051674;0.5792844;5.204582
3.881755;61.122154;0.48558763;4.8037405
4.183142;62.103134;0.54883885;5.089261
3.7320805;60.92024;0.4490642;4.607966
3.799137;54.64716;0.46626535;4.3750095
4.320095;70.3474;0.58941275;5.733774
4.129591;63.187035;0.51613325;4.8918223
4.3805175;65.81445;0.5843468;5.365812
5.4725943;15.874279;1.3314807;3.2985408
3.9926066;63.893414;0.54135156;5.3768086
4.105011;65.89819;0.55912;5.504589
4.265543;67.2063;0.5627148;5.37956
4.5860543;51.01794;0.62332344;4.6118693
4.1068907;57.456745;0.5531178;4.9746776
3.668923;57.081215;0.4947417;4.9800777
3.806003;60.28026;0.48281103;4.834565
3.9577115;67.585144;0.53393835;5.544817
4.5531306;55.134815;0.5882544;4.611866
4.160929;65.4861;0.5390775;5.1968646
4.3324447;66.24433;0.563694;5.2499337
4.4674444;55.959618;0.57148266;4.613546
5.350603;53.832497;0.7068867;4.6101613
4.3463135;61.690033;0.52321595;4.6204934
3.7423327;59.34146;0.4555387;4.584565
4.122236;73.095665;0.53101534;5.533503
4.881422;51.79035;0.6288649;4.39227
4.329507;56.932156;0.5406927;4.556609
4.267362;59.939594;0.50036985;4.414577
4.6223974;45.363605;0.590606;3.9777915
3.843416;53.07718;0.4793908;4.3608727
3.7879217;52.405445;0.46502325;4.253987
4.1157403;59.74013;0.5324351;4.891913
4.0564847;57.539715;0.5180024;4.709977
4.431582;60.165424;0.5801462;4.9616823
3.8234193;62.08884;0.4917244;4.9995127
3.9031718;50.52054;0.47802782;4.1332054
4.0086255;47.524094;0.49468032;3.9879434
4.3287926;72.965706;0.5780239;5.73112
4.062013;71.77815;0.5542837;5.8209133
4.2248106;59.24756;0.54053485;4.803952
5.012804;51.56534;0.64792955;4.3888135
4.5878506;58.894547;0.58268017;4.731582
4.513346;54.770054;0.5806867;4.5728874
3.923589;63.00887;0.49299407;4.9200583
4.240707;64.99219;0.5344209;5.019021
4.792047;48.645565;0.63076705;4.3049226
3.999416;66.521736;0.5085879;5.154395
4.178775;61.65603;0.5388021;4.973375
4.141899;71.17435;0.56904954;5.828336
4.2985845;54.81311;0.5777077;4.8001623
3.8566835;64.36496;0.50348186;5.196647
4.9875154;32.556805;0.7381006;3.6045234
4.1008363;60.181248;0.51454383;4.7604966
3.5462956;56.389828;0.43707943;4.4989476
4.140117;68.31504;0.51871157;5.152547
4.139879;69.48947;0.5194681;5.2158933
4.895675;51.48417;0.62691057;4.3461776
4.0360117;52.53686;0.50747645;4.3591433
4.494116;56.0979;0.55774724;4.4752283
4.4028587;67.10118;0.57849866;5.344339
3.951721;56.156178;0.49042463;4.501656
4.1897745;56.178535;0.5203682;4.496219
4.312311;47.335266;0.53288656;3.970921
3.707193;56.476444;0.49547982;4.8968005
4.0040064;50.216164;0.52334374;4.4021034
4.071102;72.709366;0.5283035;5.5616283
5.223763;42.203884;0.7076365;3.9906688
4.6567965;45.32582;0.60001665;4.009166
3.731623;53.171432;0.44734186;4.1928673
4.1956005;76.86528;0.56850845;6.015347
4.387974;51.60904;0.55532867;4.321054
5.34;23.7439;0.92775;3.2899592
4.4353466;81.682205;0.60767907;6.295359
4.1327076;48.505436;0.5230048;4.1487865
3.8030024;59.551056;0.46699825;4.6350007
6.1453037;31.070215;0.9597482;3.6358714
4.209071;57.94037;0.524042;4.600532
4.2907214;46.312428;0.549456;4.0592575
4.441161;46.568253;0.5651737;4.0427766
4.1679535;57.354355;0.55304646;4.8884764
4.095851;47.727818;0.52374583;4.148158
4.3320255;68.09808;0.5385372;5.0906425
4.6464887;52.2471;0.58329177;4.3100014
4.029583;67.7957;0.55336577;5.6574526
4.2985234;59.832253;0.5475552;4.809307
3.9446094;57.30451;0.4990426;4.6563015
4.379976;48.31967;0.5684877;4.2386556
4.3041697;65.68871;0.56544507;5.2770114
4.3720465;62.60124;0.5651265;5.0264916
4.902287;59.932827;0.58141416;4.4400034
3.7056115;57.247276;0.4609015;4.5812173
3.739073;56.73503;0.5106784;5.0237722
4.4236717;54.035015;0.54459673;4.329909
4.3644624;40.94227;0.59177864;3.9385161
3.949417;66.988556;0.5399796;5.593
4.0656157;69.304596;0.5299971;5.425875
4.8711386;39.30008;0.6541854;3.7646503
5.7260594;27.0299;0.96516025;3.5348608
3.9942236;58.08379;0.49953637;4.6394906
4.0786595;57.39068;0.53354573;4.8217716
4.6259327;61.37942;0.6141087;5.0920906
3.9459326;57.60213;0.5159432;4.8373446
4.512574;43.754925;0.57995534;3.9037113
4.1064777;68.03001;0.546925;5.4844284
3.7618182;52.43219;0.45113215;4.15348
4.3894353;54.24292;0.57239956;4.613329
4.2096553;70.02126;0.5303212;5.2590795
5.0234942;41.541283;0.6594249;3.8242335
4.538789;53.573006;0.56867653;4.3800354
4.7561154;49.91996;0.57766;4.0304
3.9924676;64.40374;0.51783246;5.156355
4.5495477;50.80716;0.5969128;4.4326143
4.412406;52.453445;0.5549944;4.3403077
4.014577;63.19443;0.5015291;4.895245
5.233202;40.759426;0.69326466;3.7997582
4.1524105;74.60301;0.57082856;6.0019345
3.927254;67.82984;0.5353073;5.6200943
